Date,Troupe,Event,Play,Author,Location,Latitude,Longitude,Notes
Fall 1927 - Winter 1928,MVT,Perform in Krakow (and in Lemburg?),,,Krakow,50.064648,19.945015,
3/22/28,MVT,Return to Warsaw,,,"Elysium Theater, Karove (Karowa) Street, Warsaw",52.241875,21.015599,
5/2/28,MVT,Vaykhert's production of Kidesh hashem,Kidesh hashem,Sholem Ash,"Elysium Theater, Karove (Karowa) Street, Warsaw",52.241875,21.015599,
10/12/28,Bronx,New Vilna Troupe opened in the Bronx,Gerangl,B. Epelboym,"Bronx, New York",40.812118,-73.904098,directed by Jacob Mestel and Jacob Ben-Ami
10/12/1928 - June 1929,Bronx,First season in the Bronx,,,"Bronx, New York",40.812118,-73.904098,
Oct. 1928,MVT,Herman's production of Bay nakht,Bay nakht afn altn mark,Y.L. Peretz,"Elysium Theater, Karove (Karowa) Street, Warsaw",52.241875,21.015599,
Nov. 1928,MVT,Brief tour of Polish cities,,,Polish Provinces (precise locations unknown),,,
Nov. - Dec. 1928,MVT,Polish tour,,,Vilna,54.689386,25.280024,First performance in Vilna since the troupe's founding
12/18/1928 - 5/9/1929,MVT,Returned to Warsaw,,,"Elysium Theater, Karove (Karowa) Street, Warsaw",52.241875,21.015599,
((1929),Belgium,Former AA members founded a Vilna Troupe in Belgium,,,"Antwerp, Belgium",51.21992,4.39625,
Summer 1929,Bronx,First American tour,,,Locations unknown,,,
5/9/1929 - 11/10/1929,MVT,Tour of the Polish provinces,,,Krakow,50.064648,19.945015,
5/9/1929 - 11/10/1929,MVT,Tour of the Polish provinces,,,Lodz,51.759248,19.455983,
5/9/1929 - 11/10/1929,MVT,Tour of the Polish provinces,,,Radom,51.402724,21.147133,
5/9/1929 - 11/10/1929,MVT,Tour of the Polish provinces,,,Lublin,51.246455,22.568438,
5/9/1929 - 11/10/1929,MVT,Tour of the Polish provinces,,,Galicia (Historic),49.066668,22.766666,
5/9/1929 - 11/10/1929,MVT,Tour of the Polish provinces,Yidnshtot,Arn. Zeitlin,Bialystok,53.132489,23.16884,Yidnshtot premiered on 11/10/1929
Sept. 1929,Bronx,Second season opened in the Bronx American Theater,,,"Bronx America Theater on 149th Street, New York",40.812118,-73.904098,Buloff and Kadison rejoin the troupe
Nov. 1 1929,Bronx,Periferiye/Mord,Periferiye (perf. As Mord),Franzizek Langer,"Bronx America Theater on 149th Street, New York",40.812118,-73.904098,
Nov. 1929,MVT,Return to Warsaw,,,Warsaw,52.241875,21.015599,
Dec. 10 1929,Bronx,Ger tsedek (Adaptation of Dukus),Ger tsedek,Alter Kacyzne,"Bronx America Theater on 149th Street, New York",40.812118,-73.904098,
Feb. 1930,Stein,Alex Stein branch in Vienna,Der Dybbuk,,"Wien Theater, Vienna",,,
Feb. 28 1930,Bronx,Der regnboygn (folksong review) - last production,Der regnboygn,adap. J. Buloff,"Bronx America Theater on 149th Street, New York",40.812118,-73.904098,Troupe collapsed after this production
Apr. 1930,MVT,MVT tours Polish provinces,Hershele Ostropolier,M. Lipshits,Krakow,50.064648,19.945015,
Aug. 1930,MVT,MVT tours Polish provinces,Der goylem,Leivick,Lodz,51.759248,19.455983,Toured other places as well
Fall 1931,Stein,Stein Troupe to Germany,,,Berlin,,,
1931,MVT,Tour of the Polish provinces,,,"Lomzshe (Łomża), Poland",53.17812,22.059032,
1931,MVT,Tour of the Polish provinces,,,"Baranovitch (Baranovichi, Belarus)",53.133333,26.016667,
" January 2nd, 1931 - ?",MVT,Tour of the Polish provinces,,,Vilna,54.689386,25.280024,
1931,MVT,Tour of the Polish provinces,,,Grodno (Belarus),53.666667,23.833333,
1933,Stein,European Tour,Der dibuk,,Prague State Kamer Theater,,,
1933,MVT,First tour of Western Europe,,,"Paris, France",48.856667,2.350987,
November 1933 - February 1934,MVT,First tour of Western Europe,,,"Antwerp, Belgium",51.21992,4.39625,
Winter 1934,MVT,First tour of Western Europe,,,"Liège, Brussels",50.645999,5.570777,
Spring 1934,MVT,First tour of Western Europe,,,"London, England",51.51035,-0.134781,
1934,MVT,Return to Poland,,,Vilna,54.689386,25.280024,Mazo plus a small faction of VT members
1934,MVT,Travel to Vilna,Blumen-veg,Kataiev,Vilna,54.689386,25.280024,
Sept. 1935,MVT,Final Performance in Warsaw,Gots ganovim,Yoysef Tunkl,Warsaw,51.759248,19.455983,
